local authority: county / unitary (prior to April 2015),Total,Urban Conurbation,Urban City and Town,Rural Town and Fringe,Rural Village, Hamlet and Isolated Dwelling
Darlington,105564,0,92363,7770,5431
County Durham,513242,39407,242418,178196,53221
Hartlepool,92028,0,88855,742,2431
Middlesbrough,138412,0,137455,592,365
Northumberland,316028,26699,144233,82319,62777
Redcar and Cleveland,135177,0,91297,38785,5095
Stockton-on-Tees,191610,0,184074,392,7144
Gateshead,200214,181290,2861,12883,3180
Newcastle upon Tyne,280177,273861,583,4043,1690
North Tyneside,200801,190512,1766,7895,628
South Tyneside,148127,141543,5983,327,274
Sunderland,275506,273097,916,1213,280
Blackburn with Darwen,147489,0,140558,2612,4319
Blackpool,142065,0,141510,555,0
Cheshire East,370127,45501,254019,20733,49874
Cheshire West and Chester,329608,0,243307,45067,41234
Halton,125746,0,122598,2188,960
Warrington,202228,0,177064,15229,9935
Cumbria,499858,0,232039,131201,136618
Bolton,276786,246862,27436,560,1928
Bury,185060,179215,719,2258,2868
Manchester,503127,503024,0,0,103
Oldham,224897,214910,7330,355,2302
Rochdale,211699,205920,3202,541,2036
Salford,233933,233649,0,0,284
Stockport,283275,274713,7313,0,1249
Tameside,219324,216647,2032,0,645
Trafford,226578,221223,4531,0,824
Wigan,317849,300645,5648,7928,3628
Lancashire,1171339,41647,887982,130300,111410
Knowsley,145893,140576,4324,299,694
Liverpool,466415,466415,0,0,0
Sefton,273790,154733,115078,2063,1916
St. Helens,175308,158483,7096,8131,1598
Wirral,319783,313774,2471,724,2814
East Riding of Yorkshire,334179,0,187505,81176,65498
"Kingston upon Hull, City of",256406,0,256406,0,0
North East Lincolnshire,159616,0,143802,11171,4643
North Lincolnshire,167446,0,92151,48350,26945
York,198051,0,165611,23880,8560
North Yorkshire,598376,338,270221,132478,195339
Barnsley,231221,184804,22244,14567,9606
Doncaster,302402,215009,45231,27064,15098
Rotherham,257280,185796,45381,20435,5668
Sheffield,552698,525842,17166,6060,3630
Bradford,522452,398239,88385,26924,8904
Calderdale,203826,148908,15692,20266,18960
Kirklees,422458,351616,21924,33271,15647
Leeds,751485,656134,52316,30197,12838
Wakefield,325837,129269,138740,44793,13035
Derby,248752,0,248752,0,0
Leicester,329839,0,329283,0,556
Nottingham,305680,305680,0,0,0
Rutland,37369,0,11522,9181,16666
Derbyshire,769686,238675,322827,112290,95894
Leicestershire,650489,0,451913,114901,83675
Lincolnshire,713653,0,370388,153436,189829
Northamptonshire,691952,0,471327,134088,86537
Nottinghamshire,785802,281375,291152,138128,75147
"Herefordshire, County of",183477,0,84335,17864,81278
Shropshire,306129,0,130660,69700,105769
Stoke-on-Trent,249008,0,248337,0,671
Telford and Wrekin,166641,0,155464,632,10545
Staffordshire,848489,154961,487672,94813,111043
Warwickshire,545474,0,365377,92589,87508
Birmingham,1073045,1072492,0,0,553
Coventry,316960,0,316395,0,565
Dudley,312925,312399,250,276,0
Sandwell,308063,308063,0,0,0
Solihull,206674,182706,3570,14388,6010
Walsall,269323,265682,636,2169,836
Wolverhampton,249470,249470,0,0,0
Worcestershire,566169,18896,398125,50896,98252
Bedford,157479,0,108375,24877,24227
Central Bedfordshire,254381,0,154109,64306,35966
Luton,203201,0,203201,0,0
